"id_stock";"sysnr_stock";"nett_price_stock";"available_stock";"created_at"
"1";"13006";"78.22";"> 20";"2024-02-11 04:00:05.000000"
"2";"14041";"48.40";"> 20";"2024-02-11 04:00:05.000000"
"3";"16745";"40.68";"> 20";"2024-02-11 04:00:05.000000"
"4";"16749";"52.57";"> 20";"2024-02-11 04:00:05.000000"
"5";"18331";"162.32";"> 20";"2024-02-11 04:00:05.000000"
"6";"20763";"66.99";"> 20";"2024-02-11 04:00:05.000000"
"7";"20883";"80.60";"> 20";"2024-02-11 04:00:05.000000"
"8";"22543";"35.27";"> 20";"2024-02-11 04:00:05.000000"
"9";"23997";"94.44";"> 20";"2024-02-11 04:00:05.000000"
"10";"24039";"116.18";"> 20";"2024-02-11 04:00:05.000000"
"11";"24107";"57.00";"> 20";"2024-02-11 04:00:05.000000"
"12";"25521";"63.39";"> 20";"2024-02-11 04:00:05.000000"
"13";"25893";"28.71";"> 20";"2024-02-11 04:00:05.000000"
"14";"25896";"28.50";"> 20";"2024-02-11 04:00:05.000000"
"15";"25897";"30.08";"> 20";"2024-02-11 04:00:05.000000"
"16";"25899";"30.24";"> 20";"2024-02-11 04:00:05.000000"
"17";"25903";"31.51";"> 20";"2024-02-11 04:00:05.000000"
"18";"32687";"104.33";"> 20";"2024-02-11 04:00:05.000000"
"19";"34348";"55.87";"4";"2024-02-11 04:00:05.000000"
"20";"34607";"52.27";"> 20";"2024-02-11 04:00:05.000000"
"21";"35041";"57.57";"> 20";"2024-02-11 04:00:05.000000"
"22";"35230";"43.76";"> 20";"2024-02-11 04:00:05.000000"
"23";"35231";"44.97";"> 20";"2024-02-11 04:00:05.000000"
"24";"36158";"37.63";"> 20";"2024-02-11 04:00:05.000000"
"25";"36224";"120.97";"> 20";"2024-02-11 04:00:05.000000"
"26";"36333";"91.87";"> 20";"2024-02-11 04:00:05.000000"
"27";"51041";"56.85";"> 20";"2024-02-11 04:00:05.000000"
"28";"51138";"120.97";"> 20";"2024-02-11 04:00:05.000000"
"29";"52760";"147.18";"> 20";"2024-02-11 04:00:05.000000"
"30";"133817";"103.10";"> 20";"2024-02-11 04:00:05.000000"
"31";"134098";"312.46";"> 20";"2024-02-11 04:00:05.000000"
"32";"136082";"103.30";"> 20";"2024-02-11 04:00:05.000000"
"33";"136084";"118.92";"> 20";"2024-02-11 04:00:05.000000"
"34";"137045";"107.17";"> 20";"2024-02-11 04:00:05.000000"
"35";"137463";"151.81";"> 20";"2024-02-11 04:00:05.000000"
"36";"138300";"86.67";"> 20";"2024-02-11 04:00:05.000000"
"37";"138325";"64.88";"> 20";"2024-02-11 04:00:05.000000"
"38";"138611";"126.17";"> 20";"2024-02-11 04:00:05.000000"
"39";"139949";"91.56";"> 20";"2024-02-11 04:00:05.000000"
"40";"151102";"135.70";"> 20";"2024-02-11 04:00:05.000000"
"41";"151384";"86.67";"> 20";"2024-02-11 04:00:05.000000"
"42";"151385";"127.46";"> 20";"2024-02-11 04:00:05.000000"
"43";"151716";"53.30";"> 20";"2024-02-11 04:00:05.000000"
"44";"151723";"64.73";"> 20";"2024-02-11 04:00:05.000000"
"45";"151899";"107.89";"> 20";"2024-02-11 04:00:05.000000"
"46";"151902";"115.87";"> 20";"2024-02-11 04:00:05.000000"
"47";"155537";"104.28";"8";"2024-02-11 04:00:05.000000"
"48";"156120";"96.76";"10";"2024-02-11 04:00:05.000000"
"49";"160120";"147.87";"> 20";"2024-02-11 04:00:05.000000"
"50";"160324";"169.48";"10";"2024-02-11 04:00:05.000000"
"51";"161487";"45.62";"> 20";"2024-02-11 04:00:05.000000"
